[2022-12-09 11:32:47.586089] Couldn't open , trying /root/.config/srsran/ue.conf
[2022-12-09 11:32:47.594847] Reading configuration file /root/.config/srsran/ue.conf...
[2022-12-09 11:32:47.644050] WARNING: cpu0 scaling governor is not set to performance mode. Realtime processing could be compromised. Consider setting it to performance mode before running the application.
[2022-12-09 11:32:47.645555] 
[2022-12-09 11:32:47.645776] Built in Release mode using commit 17429def4 on branch master.
[2022-12-09 11:32:47.645954] 
[2022-12-09 11:32:47.755051] Opening 2 channels in RF device=default with args=type=zmq
[2022-12-09 11:32:47.755120] Available RF device list: UHD  zmq 
[2022-12-09 11:32:47.755180] Trying to open RF device 'UHD'
[2022-12-09 11:32:47.755386] Opening USRP channels=2, args: type=zmq,master_clock_rate=23.04e6
[2022-12-09 11:32:49.206742] RF device 'UHD' successfully opened
[2022-12-09 11:32:49.767479] Waiting PHY to initialize ... done!
[2022-12-09 11:32:49.767739] Attaching UE...
[2022-12-09 11:32:49.767782] Enter t to stop trace.
[2022-12-09 11:32:49.767810] Closing stdin thread.
[2022-12-09 11:32:49.767906] --- disconnected ---
[2022-12-09 11:32:50.767902] --- disconnected ---
[2022-12-09 11:32:51.767766] --- disconnected ---
[2022-12-09 11:32:52.767806] --- disconnected ---
[2022-12-09 11:32:53.767831] --- disconnected ---
[2022-12-09 11:32:54.767893] --- disconnected ---
[2022-12-09 11:32:55.767962] --- disconnected ---
[2022-12-09 11:32:56.767965] --- disconnected ---
[2022-12-09 11:32:57.767763] --- disconnected ---
[2022-12-09 11:32:58.767752] --- disconnected ---
[2022-12-09 11:32:59.767762] --- disconnected ---
[2022-12-09 11:33:00.767990] --- disconnected ---
[2022-12-09 11:33:01.767870] --- disconnected ---
[2022-12-09 11:33:02.767822] --- disconnected ---
[2022-12-09 11:33:03.768088] --- disconnected ---
[2022-12-09 11:33:04.769419] --- disconnected ---
[2022-12-09 11:33:05.767914] --- disconnected ---
[2022-12-09 11:33:06.767821] --- disconnected ---
[2022-12-09 11:33:07.767825] --- disconnected ---
[2022-12-09 11:33:08.767920] --- disconnected ---
[2022-12-09 11:33:09.767903] --- disconnected ---
[2022-12-09 11:33:10.767835] --- disconnected ---
[2022-12-09 11:33:11.767917] --- disconnected ---
[2022-12-09 11:33:12.767865] --- disconnected ---
[2022-12-09 11:33:13.767899] --- disconnected ---
[2022-12-09 11:33:14.768100] --- disconnected ---
[2022-12-09 11:33:15.767960] --- disconnected ---
[2022-12-09 11:33:16.767994] --- disconnected ---
[2022-12-09 11:33:17.768062] --- disconnected ---
[2022-12-09 11:33:18.767823] --- disconnected ---
[2022-12-09 11:33:19.768158] --- disconnected ---
[2022-12-09 11:33:20.767903] --- disconnected ---
[2022-12-09 11:33:21.768530] --- disconnected ---
[2022-12-09 11:33:22.769710] --- disconnected ---
[2022-12-09 11:33:23.768102] --- disconnected ---
[2022-12-09 11:33:24.768121] --- disconnected ---
[2022-12-09 11:33:25.767833] --- disconnected ---
[2022-12-09 11:33:26.767962] --- disconnected ---
[2022-12-09 11:33:27.768039] --- disconnected ---
[2022-12-09 11:33:28.768162] --- disconnected ---
[2022-12-09 11:33:29.768167] --- disconnected ---
[2022-12-09 11:33:30.768266] --- disconnected ---
[2022-12-09 11:33:31.768100] --- disconnected ---
[2022-12-09 11:33:32.768199] --- disconnected ---
[2022-12-09 11:33:33.767908] --- disconnected ---
[2022-12-09 11:33:34.768328] --- disconnected ---
[2022-12-09 11:33:35.767922] --- disconnected ---
[2022-12-09 11:33:36.768346] --- disconnected ---
[2022-12-09 11:33:37.768238] --- disconnected ---
[2022-12-09 11:33:38.768047] --- disconnected ---
[2022-12-09 11:33:39.768175] --- disconnected ---
[2022-12-09 11:33:40.768070] --- disconnected ---
[2022-12-09 11:33:41.767967] --- disconnected ---
[2022-12-09 11:33:42.767939] --- disconnected ---
[2022-12-09 11:33:43.768101] --- disconnected ---
[2022-12-09 11:33:44.768098] --- disconnected ---
[2022-12-09 11:33:45.767903] --- disconnected ---
[2022-12-09 11:33:46.767927] --- disconnected ---
[2022-12-09 11:33:47.768583] --- disconnected ---
[2022-12-09 11:33:48.768098] --- disconnected ---
[2022-12-09 11:33:49.767873] --- disconnected ---
[2022-12-09 11:33:50.768069] --- disconnected ---
[2022-12-09 11:33:51.768036] --- disconnected ---
[2022-12-09 11:33:52.768279] --- disconnected ---
[2022-12-09 11:33:53.767916] --- disconnected ---
